TITLE, HOURS PLAYED, PERCENTAGE ACHIEVEMENTS, DATE LAST PLAYED
UTOPIA 9 - A Volatile Vacation, 22.8, 56.5%, 2022-09-07
Stone Tales, 22.0, N/A, 2016-04-06
Flight of the Paladin, 20.9, 0.0%, 2016-07-31
Pony Island, 10.8, 10.0%, 2018-09-28
Super Ubie Island REMIX, 53.3, N/A, 2020-01-20
There Was a Caveman, 5.3, 5.0%, 2016-09-03
Mad Nords: Probably an Epic Quest, 13.0, 4.8%, 2017-03-04
Dream Factory, 7.8, N/A, 2016-11-21
Dr. Langeskov: The Tiger: and The Terribly Cursed Emerald: A Whirlwind Heist, 6.2, 16.7%, 2016-02-16
Blackfaun, 6.5, 4.0%, 2017-01-04
Contract With The Devil, 11.3, 0.0%, 2016-11-15
12 is Better Than 6, 7.2, 10.9%, 2017-02-15
Suits: A Business RPG, 12.9, 5.7%, 2016-02-03
Swordbreaker The Game, 24.6, 1.5%, 2019-02-17
Legend, 22.1, N/A, 2017-04-27
Raining Blobs, 10.6, 0.0%, 2020-01-20
Gnomes Garden, 11.2, 0.0%, 2016-11-15
Energy Cycle, 12.8, 11.1%, 2016-04-28
Bleeding Border, 23.6, 0.0%, 2016-03-09
Demented, 5.7, N/A, 2022-11-17
The Madness of Little Emma, 6.2, 2.5%, 2020-01-20
Spelunky 2, 6.8, 3.1%, 2022-08-27
Iron Commando, 6.2, N/A, 2016-11-21
Pankapu, 16.2, 32.1%, 2017-02-04
Candle, 5.1, 8.7%, 2017-05-09
KRUM - Edge Of Darkness, 7.9, N/A, 2022-11-21
Plantera, 8.8, 51.7%, 2017-04-20
Plastiland, 22.7, N/A, 2016-04-04
ZHEROS, 5.0, 4.3%, 2016-04-20
Day D: Tower Rush, 11.4, 8.3%, 2016-11-17
Project Highrise, 13.4, 0.0%, 2020-01-20
Hero Defense, 6.0, 3.0%, 2016-06-16
Marooners, 7.8, 2.9%, 2017-09-11
The fall of gods, 5.1, N/A, 2021-09-09
Little Nightmares, 6.8, 4.5%, 2021-11-29
ONE PIECE BURNING BLOOD, 19.4, 0.0%, 2017-08-16
Goodnight Butcher, 12.8, N/A, 2016-04-28
TurnOn, 10.1, 7.3%, 2017-01-20
Solitaire Christmas. Match 2 Cards, 10.9, 0.0%, 2016-11-15
Gems of the Aztecs, 11.1, N/A, 2016-11-15
Tyrfing Cycle |Vanilla|, 11.1, 0.0%, 2017-01-20
Disastr_Blastr, 6.5, 12.8%, 2018-12-17
Doodle Kingdom, 11.3, 0.0%, 2016-11-17
Aseprite, 22.7, N/A, 2025-09-11
Iron Sea Defenders, 18.1, 0.0%, 2017-01-23
Wildfire, 6.5, 1.7%, 2021-01-10
Silver Knight, 25.0, N/A, 2016-04-19
Neon Drive, 13.4, 0.0%, 2017-05-24
Lost Castle, 5.1, 3.1%, 2016-04-10
Onion Force, 5.0, N/A, 2022-12-29
The Final Station, 18.7, 21.7%, 2017-05-15
GoNNER, 5.9, 15.8%, 2018-09-26
Tricky Towers, 11.1, 3.4%, 2023-09-11
Stories: The Path of Destinies, 5.6, 8.1%, 2019-12-08
DreamBreak, 22.2, 0.0%, 2017-04-27
Loot Rascals, 5.5, 9.1%, 2017-10-31
Alice's Patchwork, 11.6, 0.0%, 2016-11-15
Skautfold: Shrouded in Sanity, 5.0, 10.5%, 2018-07-25
The Haunting of Billy Classic, 20.1, N/A, 2016-07-31
Blossom Tales: The Sleeping King, 40.5, 85.0%, 2024-10-08
Bad Caterpillar, 24.6, 36.4%, 2017-04-07
Spectrubes, 9.3, 25.0%, 2016-05-04
Mr. Nibbles Forever, 7.0, 7.1%, 2023-07-11
Overcooked, 19.4, 16.7%, 2017-08-23
Axes and Acres, 24.6, 0.0%, 2017-04-07
Gnomes Garden 2, 11.1, 0.0%, 2016-11-15
Monster Boy And The Cursed Kingdom, 5.9, 15.6%, 2019-12-05
Battle Chasers: Nightwar, 6.9, 2.1%, 2018-09-28
Caveblazers, 6.4, 9.5%, 2019-12-27
Love is Dead, 6.6, 8.6%, 2019-12-08
Demon's Crystals, 7.5, 14.3%, 2018-04-05
Shiny Gauntlet, 21.9, 0.0%, 2017-04-25
Gravity Den, 8.8, 6.2%, 2016-08-31
Omensight, 7.4, 5.9%, 2019-12-07
Lines, 36.7, 0.0%, 2017-12-29
The Slimeking's Tower, 21.9, 18.9%, 2020-01-05
Cursor Challenge, 5.5, N/A, 2016-10-29
Rocket Riot, 24.9, 4.2%, 2017-04-07
Blamdown Udder Fury, 6.1, 4.8%, 2017-05-06
Tales Across Time, 10.2, 0.0%, 2016-05-04
Fury Unleashed, 11.8, 0.0%, 2021-11-13
Super Space Pug, 12.6, N/A, 2017-03-04
Legion TD 2, 18.2, 0.0%, 2022-12-16
Shattered Throne, 6.7, N/A, 2020-01-20
Super Mega Neo Pug, 5.7, N/A, 2017-03-04
Death Squared, 7.5, 12.0%, 2022-11-14
Human Fall Flat, 8.0, 1.4%, 2022-06-02
Magma Tsunami, 6.5, N/A, 2017-01-18
Machine Made: Rebirth, 5.8, 6.2%, 2016-11-21
Nary, 24.6, 0.0%, 2017-04-07
Planet Coaster, 8.2, 3.1%, 2020-07-22
Figment, 9.8, 47.8%, 2017-09-29
Praey for the Gods, 10.9, 0.0%, 2023-07-25
Kingdom: New Lands, 6.3, 2.9%, 2017-01-23
Pixelscape: Oceans, 13.0, 8.3%, 2017-03-04
The Ember Saga: A New Fire, 6.6, N/A, 2017-11-30
Star Fields, 5.8, N/A, 2017-03-03
Wild Terra Online, 9.8, 2.0%, 2018-07-26
Manual Samuel - Last Tuesday Edition, 6.1, 5.6%, 2017-05-09
Goo Saga - HD Edition, 21.7, 3.0%, 2017-07-13
Unexplored, 6.8, 3.4%, 2017-06-22
Streets of Rogue, 7.6, 1.9%, 2020-02-12
SkyTime, 8.9, 4.2%, 2017-01-20
Turbo Pug DX, 12.3, 3.7%, 2017-03-04
Panzer Warfare, 7.5, 25.0%, 2017-03-01
Eldritch Hunter, 19.8, 0.0%, 2017-08-23
Warriors of Vilvatikta, 12.4, 0.0%, 2017-03-04
Marty Thinks 4th Dimensionally, 5.3, 1.1%, 2017-10-30
Board Defenders, 13.3, 9.5%, 2017-03-04
Stellar Interface, 19.2, 2.1%, 2017-08-16
Just Cause 4, 5.0, 1.6%, 2022-11-12
Ballistick, 5.8, 6.7%, 2016-11-20
Mahjong World Contest, 13.2, 0.0%, 2016-11-16
Alice's Patchworks 2, 11.5, 0.0%, 2016-11-15
Monsti, 5.3, N/A, 2016-09-22
A Day in the Woods, 5.3, 18.2%, 2016-11-03
Solitaire Beach Season, 10.9, 0.0%, 2016-11-15
Wells, 14.1, 28.6%, 2017-09-30
Turbo Pug 3D, 12.3, 0.0%, 2017-03-04
Shu, 5.4, 16.7%, 2021-02-05
World to the West, 12.6, 0.0%, 2024-01-14
Wandersong, 8.7, 2.7%, 2025-03-01
Archimedes, 7.9, N/A, 2016-11-21
Ultimate Solid, 21.7, 0.0%, 2017-07-15
Guacamelee! 2, 47.0, 51.0%, 2022-01-17
Sundered: Eldritch Edition, 5.6, 5.0%, 2019-02-22
